Slokam,Slokam_en,"Slokam Meaning"
<p>भीष्मउवाच&mdash;<br>जगत्प्रभुंदेवदेवमनन्तंपुरुषोत्तमम्।<br>स्तुवन्नामसहस्रेणपुरुषःसततोत्थितः॥१०॥</p>,"<p>śrī bhīṣma uvāca:<br>jagatprabhuṁ devadevamanaṁtaṁ puruṣōttamam,<br>stuvannāmasahasreṇa puruṣaḥ satatōtthitaḥ. (10)</p>","<p>Bhishma replied:<br>Praising the Lord of the universe, the God of gods, the infinite Supreme Personality of Godhead, with a thousand names, the man ever rises.</p>"
"<p>तमेव चार्चयन्नित्यं भक्त्या पुरुषमव्ययम् ।<br>ध्यायन् स्तुवन् नमस्यंश्च यजमानस्तमेव च ॥ ११॥</p>","<p>tameva cārcayannityaṁ bhaktyā puruṣamavyayam,<br>dhyāyan stuvannamasyaṁśca yajamānastameva ca. (11)</p>","<p>And worshiping Him alone with devotion, meditating on the inexhaustible Purusha, praising and bowing down to Him alone, and offering sacrifices to Him alone, the worshipper, the aspirant (is freed).</p>"
"<p>अनादिनिधनं विष्णुं सर्वलोकमहेश्वरम् ।<br>लोकाध्यक्षं स्तुवन्नित्यं सर्वदुःखातिगो भवेत् ॥ १२॥</p>"," <p>anādinidhanaṃ viṣṇuṃ sarvalokamaheśvaram,<br>lokādhyakṣaṃ stuvannityaṃ sarvaduḥkhātigo bhavet. (12)</p>","<p>By praising Vishnu, the eternally immortal, the great Lord of all the worlds, the presiding deity of the worlds, one can pass beyond all sorrows.</p>"
"<p>ब्रह्मण्यं सर्वधर्मज्ञं लोकानां कीर्तिवर्धनम् ।<br>लोकनाथं महद्भूतं सर्वभूतभवोद्भवम् ॥ १३॥</p>","<p>brahmaṇyaṁ sarvadharmaj&ntilde;aṁ lōkānāṁ kīrtivardhanam,<br>lōkanāthaṁ mahadbhūtaṁ sarvabhūtabhavōdhbhavam. (13)</p>","<p>He is the Brahman, the knower of all religions, the enhancer of the fame of the worlds, the Lord of the worlds, the great being, the origin of all beings.</p>"
"<p>एष मे सर्वधर्माणां धर्मोऽधिकतमो मतः ।<br>यद्भक्त्या पुण्डरीकाक्षं स्तवैरर्चेन्नरः सदा ॥ १४॥</p>","<p>eṣa me sarvadharmāṇāṁ dharmōdhikatamō mataḥ,<br>yadbhaktyā puṁḍarīkākṣaṁ stavairarcennaraḥ sadā. (14)</p>"," <p>This is the Dharma which I consider to be the highest of all Dharma, that one should always worship the lotus-eyed Lord with devotion and hymns.</p>"
"<p>परमं यो महत्तेजः परमं यो महत्तपः ।<br>परमं यो महद्ब्रह्म परमं यः परायणम् ॥ १५॥</p>","<p>paramaṁ yō mahattejaḥ paramaṁ yō mahattapaḥ,<br>paramaṁ yō mahadbrahma paramaṁ yaḥ parāyaṇam. (15)</p>"," <p>He is the supreme great light, He is the supreme great ruler. He is the supreme great Brahman (Absolute), He is the supreme highest goal.</p>"
"<p>पवित्राणां पवित्रं यो मङ्गलानां च मङ्गलम् ।<br>दैवतं दैवतानां च भूतानां योऽव्ययः पिता ॥ १६॥</p>","<p>pavitrāṇāṁ pavitraṁ yō maṁgalānāṁ ca maṁgalam,<br>daivataṃ daivatānāṃ ca bhūtānāṃ yo&rsquo;vyayaḥ pita. &nbsp;(16)</p>","<p>He who is holy among the holy and auspicious among the auspicious, who is God among the gods and who is the inexhaustible Father of all beings.</p>"
"<p>यतः सर्वाणि भूतानि भवन्त्यादियुगागमे ।<br>यस्मिंश्च प्रलयं यान्ति पुनरेव युगक्षये ॥ १७॥</p>","<p>yataḥ sarvāṇi bhūtāni bhavaṁtyādiyugāgame,<br>yasmiṁśca pralayaṁ yāṁti punareva yugakṣaye. (17)</p>"," <p>From Him all creatures proceed in the beginning of an age, and in Him they are absorbed again at the end of the age.</p>"
"<p>तस्य लोकप्रधानस्य जगन्नाथस्य भूपते ।<br>विष्णोर्नामसहस्रं मे श&zwj;णु पापभयापहम् ॥ १८॥</p>","<p>tasya lōkapradhānasya jagannāthasya bhūpate,<br>viṣṇōrnāmasahasraṁ me śruṇu pāpabhayāpaham. (18)</p>","<p>Of that Chief of the world, of the Lord of the universe, O King (Yudhishthira),<br>Of Vishnu, hear from me the thousand names, which remove all sin and fear.</p>"
"<p>यानि नामानि गौणानि विख्यातानि महात्मनः ।<br>ऋषिभिः परिगीतानि तानि वक्ष्यामि भूतये ॥ १९॥</p>","<p>yāni nāmāni gauṇāni vikhyātāni mahātmanaḥ,<br>ṛṣibhiḥ parigītāni tāni vakṣyāmi bhūtaye. (19)</p>","<p>Those famous names of the Great Soul which bring out His manifold qualities celebrated by rishs (seers) I shall declare for the good (of all).</p>"
"<p>ऋषिर्नाम्नां सहस्रस्य वेदव्यासो महामुनिः ॥<br>छन्दोऽनुष्टुप् तथा देवो भगवान् देवकीसुतः ॥ २०॥</p>","<p>r̥ṣirnāmnāṁ sahasrasya vedavyāsō mahāmuniḥ,<br>chaṁdōnuṣṭup tathā devō bhagavān devakīsutaḥ. (20)</p>","<p>The rishi of the thousand names is Vedavyasa, the great contemplative sage;<br>The metre is Anushtup, and the deity is the blessed son of Devaki.</p>"
"<p>अमृतांशूद्भवो बीजं शक्तिर्देवकिनन्दनः ।<br>त्रिसामा हृदयं तस्य शान्त्यर्थे विनियोज्यते ॥ २१॥</p>","<p>amr̥tāṁśūdbhavō bījaṁ śaktirdevakinaṁdana:<br>trisāmā hr̥dayaṁ tasya śāṁtyarthe viniyujyate. (21)</p>","<p>The seed is He-who-was-born-in-the-lunar-race;<br>Its power is The Name, The-son-of-Devakī.<br>The heart is the One-who-is-lauded-by-the-three-Sama-hymns,<br>The purpose of its use is the attainment of peace.</p>"
"<p>विष्णुं जिष्णुं महाविष्णुं प्रभविष्णुं महेश्वरम् ॥<br>अनेकरूप दैत्यान्तं नमामि पुरुषोत्तमं ॥ २२ ॥</p>"," <p>viṣṇuṁ jiṣṇuṁ mahāviṣṇuṁ prabhaviṣṇuṁ maheśvaram,<br>anekarūpa daityāṁtaṁ namāmi puruṣōttamam. (22)</p>"," <p>Om; Vishnu, Conqueror, Great Vishnu, Creator, the Great Lord,<br>To Him of many forms, the Destroyer of demons, to the Supreme Person, I bow.</p>"
" <p><span>पूर्वन्यासः ।</span><br><span>श्रीवेदव्यास उवाच&mdash;</span><br><span>ॐ अस्य श्रीविष्णोर्दिव्यसहस्रनामस्तोत्रमहामन्त्रस्य ।</span><br><span>श्री वेदव्यासो भगवान् ऋषिः ।</span><br><span>अनुष्टुप् छन्दः ।</span><br><span>श्रीमहाविष्णुः परमात्मा श्रीमन्नारायणो देवता ।</span><br><span>अमृतांशूद्भवो भानुरिति बीजम् ।</span><br><span>देवकीनन्दनः स्रष्टेति शक्तिः ।</span><br><span>उद्भवः क्षोभणो देव इति परमो मन्त्रः ।</span><br><span>शङ्खभृन्नन्दकी चक्रीति कीलकम् ।</span><br><span>शार्ङ्गधन्वा गदाधर इत्यस्त्रम् ।</span><br><span>रथाङ्गपाणिरक्षोभ्य इति नेत्रम् ।</span><br><span>त्रिसामा सामगः सामेति कवचम् ।</span><br><span>आनन्दं परब्रह्मेति योनिः ।</span><br><span>ऋतुः सुदर्शनः काल इति दिग्बन्धः ॥</span></p>","<p><span>pūrvanyāsaḥ</span><br><span>śrīvedavyāsa uvāca:</span><br><span>oṃ asya śrī viṣṇōrdivyasahasranāmastōtramahāmaṁtrasya,</span><br><span>śrī vēdavyāsō bhagavān r̥ṣiḥ, anuṣṭup chaṁdaḥ,</span><br><span>śrīmahāviṣṇuḥ paramātmā śrīmannārāyaṇō dēvatā,</span><br><span>amr̥tāṁśūdbhavō bhānuriti bījam,</span><br><span>dēvakīnaṁdanaḥ sraṣṭēti śaktiḥ,</span><br><span>udhbhavaḥ, kṣōbhaṇō dēva iti paramō maṁtraḥ,</span><br><span>śaṁkhabhr̥nnaṁdakī cakrīti kīlakam,</span><br><span>śārṅgadhanvā gadādhara ityastram,</span><br><span>rathāṁgapāṇirakṣōbhya iti nētram,</span><br><span>trisāmā sāmagaḥ sāmēti kavacam,</span><br><span>ānaṁdaṁ parabrahmēti yōniḥ,</span><br><span>r̥tussudarśana: kāla iti digbhaṁdhaḥ,</span><br><span>śrī viśvarūpa iti dhyānam,</span><br><span>śrīmahāviṣṇuprītyarthē sahasranāma pārāyaṇē viniyōgaḥ.</span></p>","<p><span>Vedavyasa said:</span><br><span>Of this garland of mantras (constituting) the praise-song of the divine thousand names of Vishnu,</span><br><span>The blessed Vedavyasa is the seer,</span><br><span>Krishna, the Supreme Self, is the deity,</span><br><span>The metre is Anushtup,</span><br><span>&quot;Having His source in the Self, Self-begotten&quot; is the seed,</span><br><span>&quot;The son of Devaka, the Creator and Sustainer,&quot; is the Power,</span><br><span>&quot;He whose glory is sung in the three types of Sama songs; the theme of such songs</span><br><span>He who manifests Himself as the Sama Veda&quot; is the heart,</span><br><span>&quot;The Bearer of the conch, He of the word, He of the discus&quot; is the nail,</span><br><span>&quot;He of the Sharnga bow, the Wielder of the mace&quot; is the weapon,</span><br><span>&quot;The One holding the reins of a chariot in His hands (Krishna),</span><br><span>who is imperturbable&quot; is the armour,</span><br><span>&quot;The source, the vibration, God&quot; is the supreme mantra</span><br><span>Let us engage ourselves in the japa of the divine thousand names of Vishnu for the purpose of pleasing Great Vishnu.</span></p>"
"<center><h2>अथ ध्यानम् ।</h2></center>",<center><h2>Dhyanam</h2></center>,
"<p>अथ ध्यानम् ।<br>क्षीरोदन्वत्प्रदेशे शुचिमणिविलसत्सैकतेर्मौक्तिकानां<br>मालाकॢप्तासनस्थः स्फटिकमणिनिभैर्मौक्तिकैर्मण्डिताङ्गः ।<br>शुभ्रैरभ्रैरदभ्रैरुपरिविरचितैर्मुक्तपीयूष वर्षैः<br>आनन्दी नः पुनीयादरिनलिनगदा शङ्खपाणिर्मुकुन्दः ॥ १॥</p>","<p>atha dhyānam<br>kṣīrōdanvatpradēśē śucimaṇivilasatsaikatē mauktikānāṁ<br>mālāklr̥ptāsanasthaḥ sphaṭikamaṇinibhairmauktikairmaṁ ḍitāṁgaḥ,<br>śubhrairabhrairadabhrairupariviracitairmuktapīyūṣa varṣaiḥ<br>ānaṁdīnaḥ punīyādarinaḷinagadāśaṁkhapāṇirmukuṁdaḥ. (1)</p>"," <p>In the region of the ocean of milk, seated on a garland of pure gems and pearls, adorned with pearls resembling crystal gems, with white clouds, with rains of free nectar, delighting us, may the lotus and mace of the holy mountains, holding a conch, be our joy.</p>"
"<p>भूः पादौ यस्य नाभिर्वियदसुरनिलश्चन्द्र सूर्यौ च नेत्रे<br>कर्णावाशाः शिरो द्यौर्मुखमपि दहनो यस्य वास्तेयमब्धिः ।<br>अन्तःस्थं यस्य विश्वं सुरनरखगगोभोगिगन्धर्वदैत्यैः<br>चित्रं रंरम्यते तं त्रिभुवन वपुषं विष्णुमीशं नमामि ॥ २॥</p>","<p>bhūḥ pādau yasya nābhirviyadasuranilaścaṁdrasūryau ca nētrē<br>karṇāvāśāḥ śirō dyaurmukhamapi dahanō yasya vāsōyamabdhiḥ,<br>aṁtaḥsthaṁ yasya viśvaṁ suranarakhagagō bhōgigaṁdharvadaityaiḥ,<br>citraṁ raṁ ramyatē taṁ tribhuvanavapuṣaṁ viṣṇumīśaṁ namāmi. (2)</p>","<p>I bow before that God, Vishnu, Who is the lord of three worlds, Who has earth as his feet, Who has air as his soul, Who has sky as his belly, Who has moon and sun as eyes, Who has the four directions as ears, Who has the land of gods as head, Who has fire as his mouth, Who has sea as his stomach, And in whose belly play and enjoy, Gods, men birds, animals, Serpent men, Gandharvas and Asuras.</p>"
"<p>ॐ शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं<br>विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम् ।<br>लक्ष्मीकान्तं कमलनयनं योगिभिर्ध्यानगम्यं<br>वन्दे विष्णुं भवभयहरं सर्वलोकैकनाथम् ॥ ३॥</p>","<p>oṃ śāṁtākāraṁ bhujagaśayanaṁ padmanābhaṁ surēśaṁ<br>viśvādhāraṁ gaganasadr̥śaṁ mēghavarṇaṁ śubhāṁgam,<br>lakṣmīkāṁtaṁ kamalanayanaṁ yōgihr̥ddhyānagamyaṁ<br>vaṁdē viṣṇuṁ bhavabhayaharaṁ sarvalōkaikanātham. (3)</p>","<p>I bow before the God Vishnu, Who is personification of peace, Who sleeps on his folded arms, Who has a lotus on his belly, Who is the God of gods, Who is the basis of earth, Who is like the sky, Who is of the colour of the cloud, Who has beautiful limbs, Who is the consort of Lakshmi, Who has lotus like eyes, Who is seen by saints through thought, Who kills all worries and fears, And who is the lord of all the worlds.</p>"
" <p>मेघश्यामं पीतकौशेयवासं<br>श्रीवत्साङ्कं कौस्तुभोद्भासिताङ्गम् ।<br>पुण्योपेतं पुण्डरीकायताक्षं<br>विष्णुं वन्दे सर्वलोकैकनाथम् ॥ ४॥</p>"," <p>mēghaśyāmaṁ pītakauśēyavāsaṁ<br>śrīvatsāṁkaṁ kaustubhōdbhāsitāṁgam,<br>puṇyōpētaṁ puṁḍarīkāyatākṣaṁ<br>viṣṇuṁ vaṁdē sarvalōkaikanātham. (4)</p>"," <p>I bow before that God Vishnu, Who is the lord of all the universe,Who is black like a cloud, Who wears yellow silks, Who has the sreevatsa on him, Whose limbs shine because of Kousthubha,Who has eyes like an open lotus, And who is surrounded by the blessed always.</p>"
"<p>नमः समस्तभूतानामादिभूताय भूभृते ।<br>अनेकरूपरूपाय विष्णवे प्रभविष्णवे ॥ ५॥</p>"," <p>namaḥ samastabhūtānāmādibhūtāya bhūbhṛte,<br>anekarūparūpāya viṣṇave prabhaviṣṇave. (5)</p>"," <p>Obeisance to Vishnu, the origin of all beings, the sustainer of the earth, the form of many forms, the originator.</p>"
"<p>सशङ्खचक्रं सकिरीटकुण्डलं<br>सपीतवस्त्रं सरसीरुहेक्षणम् ।<br>सहारवक्षःस्थलकौस्तुभश्रियं<br>नमामि विष्णुं शिरसा चतुर्भुजम् ॥ ६॥</p>","<p>saśaṁkhacakraṁ sakirīṭakuṁḍalaṁ<br>sapītavastraṁ &nbsp;sarasīruhēkṣaṇam,<br>sahāravakṣaḥsthalaśōbhikaustubhaṁ<br>namāmi viṣṇuṁ śirasā caturbhujam. (6)</p>"," <p>I bow before the God Vishnu, Who has four arms, Who has a conch and wheel in his hands, Who wears a crown and ear globes, Who wears yellow silks, Who has lotus like eyes, Who shines because of Kousthbha gem worn on his garlanded chest.</p>"
"<p>छायायां पारिजातस्य हेमसिंहासनोपरि<br>आसीनमम्बुदश्याममायताक्षमलंकृतम् ।<br>चन्द्राननं चतुर्बाहुं श्रीवत्साङ्कित वक्षसं<br>रुक्मिणी सत्यभामाभ्यां सहितं कृष्णमाश्रये ॥ ७॥</p>"," <p>chāyāyāṁ pārijātasya hēmasiṁhāsanōpari<br>āsīnamaṁbudaśyāmamāyatākṣamalaṁkr̥tam,<br>caṁdrānanaṁ caturbāhuṁ śrīvatsāṁkitavakṣasam<br>rukmiṇīsatyabhāmābhyāṁ sahitaṁ kr̥ṣṇamāśrayē. (7)</p>"," <p>I seek refuge in Lord Krishna, Who is with Rukhmani and Satyabhama, Who sits on a golden throne in the shade of Parijata tree, Who is of the colour of the black cloud, Who has long broad eyes, Who has a face like moon, Who has four hands, and who has a chest adorned by Sreevatsa.</p>"
,"<center><h2>1008 Names of Sri Vishnu</h2></center>",
"<p>विश्वं विष्णुर्वषट्कारो भूतभव्यभवत्प्रभुः ।<br>भूतकृद्भूतभृद्भावो भूतात्मा भूतभावनः ॥ १॥</p>","<p>viśvaṁ viṣṇurvaṣaṭkārō bhūtabhavyabhavatprabhuḥ,<br>bhūtakṛdbhūtabhṛdbhāvō bhūtātmā bhūtabhāvanaḥ. (1)</p>"," <p><strong>1: Viśvaṁ</strong>/ a) Universe or Cause of Universe b) One who is full in all respects. Om visvaya namah.</p>
    <p><strong>2. Viṣṇuḥ: &ndash;&nbsp;</strong>a) One who permeates everything, is inside every sentient and non-sentient being. b) One who surrounds everything. Om vishnave namah.</p>
    <p><strong>3: Vaṣaṭkāraḥ /&nbsp;</strong>One who controls and directs (not merely pervades).<br><strong>4: Bhūta-bhavya-bhavat-prabhuḥ:&nbsp;</strong>The Master of all things past, future, and present. Nirukti &ndash; trikAla vartinAm seshi &ndash; The Lord of all things that exist in the past, present, and future.</p>
    <p><strong>5: Bhūtakṛd&nbsp;</strong>/ The creator of all beings.</p>
    <p><strong>6 : Būtabhṛd&nbsp;</strong>/ The supporter of all things. Bhutani bibharti iti bhuta-bhrt &ndash; One who supports all. (seems to be further elaborated by namas 8 and 9)</p>
    <p><strong>7: Bhāvaḥ&nbsp;</strong>/ He who exists with all the splendor. He who exists always, independent of anything else.<br><strong>8: Bhūtātmā</strong> / The AtmA or soul of all beings &ndash; sarvesham bhutanam atma</p>
    <p><strong>9: Bhūta-bhāvanaḥ&nbsp;</strong>/One who nourishes and nurtures all beings that He created.</p>"
"<p>पूतात्मा परमात्मा च मुक्तानां परमा गतिः ।<br>अव्ययः पुरुषः साक्षी क्षेत्रज्ञोऽक्षर एव च ॥ २॥</p>","<p>pūtātmā paramātmā ca muktānāṁ paramā gatiḥ,<br>avyayaḥ puruṣaḥ sākṣī kṣetraj&ntilde;ōkṣara eva ca. (2)</p>","   <p><strong>10: Pūtātmā</strong> / &nbsp;The Pure Self &ndash; One who is untainted by the effects of karma &ndash; good or bad. Puta Atma yasya sa putatma &ndash; One who has the pure Atma is pUtAtmA.</p>
    <p><strong>11: Paramātmā</strong> / The Supreme Soul &ndash; for whom there is no other guiding or superior soul</p>
    <p><strong>12: Muktānāṁ paramā gatiḥ</strong> / One who is the ultimate goal for all muktas or Released or Liberated Souls.</p>
    <p><strong>13: Avyayaḥ</strong> / a) One who does not send back anyone who has reached Him (to the cycle of birth and rebirth .(Sri Bhattar) b) Indestructible (Sri Sankara)</p>
    <p><strong>14: Puruṣaḥ</strong> / a) One who bestows on the Muktas the enjoyment of the Bliss of Himself in plenty.- puru sanoti iti purushah. b) One who is reclining in this body &ndash; puri sete iti purushah. c) One who existed before anything else existed &ndash; purA AsIt iti purushah. d) One who completes and fulfills existence everywhere &ndash; pUrayati iti purushah</p>
    <p><strong>15: Sākṣī</strong> / One who directly witnesses everything .as it is. , The All-Knower, The Omniscient&nbsp;</p>
    <p><strong>16:Kṣetrajñaḥ</strong> / One who knows, and can lead, the muktas to the exact place where the muktas will get their sought-after Supreme Bliss.</p>
    <p><strong>17: Akṣara</strong> / One whose greatness never diminishes over time in spite of being enjoyed by the miktas constantly. na ksharati iti aksharah .</p>"
"<p>योगो योगविदां नेता प्रधानपुरुषेश्वरः ।<br>नारसिंहवपुः श्रीमान् केशवः पुरुषोत्तमः ॥ ३॥</p>","<p>yōgō yōgavidāṁ netā pradhānapuruṣeśvaraḥ,<br>nārasiṁhavapuḥ śrīmān keśavaḥ puruṣōttamaḥ. (3)</p>"," <p><strong>18. Yogaḥ</strong> / One Who alone is the definite and unobstructed means to salvation. The word yoga is derived from the word yujyate which means &ldquo;with whose help the goal is attained&rdquo;.</p>
    <p><strong>19. &nbsp;Yogavidāṁ netā</strong> / One who leads those who practice yoga until they reach their Goal.</p>
    <p><strong>20. &nbsp;Pradhāna-puruṣeśvaraḥ</strong> / One who is the Lord of Primordial Matter as well as the Jivas.</p>
    <p><strong>21. &nbsp;Nārasiṁha-vapuḥ</strong> / One who possesses a body of man and lion combined.&nbsp;</p>
    <p><strong>22. &nbsp;Śrimān</strong> / One with a lovely form.</p>
    <p><strong>23. &nbsp;Keśavaḥ</strong> / One with lovely locks of hair.</p>
    <p><strong>24. &nbsp;Puruṣottamaḥ</strong> / The Supreme amongst the purushas (i.e., individualsouls).</p>"
"<p>सर्वः शर्वः शिवः स्थाणुर्भूतादिर्निधिरव्ययः ।<br>सम्भवो भावनो भर्ता प्रभवः प्रभुरीश्वरः ॥ ४॥</p>","<p>sarvaḥ śarvaḥ śivaḥ sthāṇurbhūtādirnidhiravyayaḥ,<br>saṁbhavō bhāvanō bhartā prabhavaḥ prabhurīśvaraḥ. (4)</p>"," <p><strong>25. Sarvaḥ</strong> / (sa as in sanatana) One who is all &ndash; the cause of creation and destruction of all things.&nbsp;</p>
    <p><strong>26. Śarvaḥ&nbsp;</strong>/ (sa as in Shiva) The Remover of all sins.</p>
    <p><strong>27.&nbsp;Śivaḥ&nbsp;</strong>/ One who confers auspiciousness. subha avahasca sivah &ndash; One who bestows auspiciousness on all.</p>
    <p><strong>28. Sthāṇur</strong> / One who is .firm in His benefits and anugraha to the devotees.</p>
    <p><strong>29. Bhūtādiḥ</strong> / a) One who is eagerly sought after by all beings. b) &nbsp;The source or cause of all beings. c) &nbsp;The very source of the panca bhutas.</p>
    <p><strong>30. Nidhir-avyayaḥ</strong> / The inexhaustible treasure.</p>
    <p><strong>31. &nbsp;Sambhavaḥ</strong> / (Though like a Hidden Treasure), One who manifests Himself at will to those who sincerely seek Him. He manifests Himself at any place and at any time and in any form (e.g., nrsimha, matsya, kurma, etc.).</p>
    <p><strong>32. &nbsp;Bhāvanaḥ</strong> / (Having manifested thus), One who regenerates all by dispelling all their evils.</p>
    <p><strong>33. &nbsp;Bhartā</strong> / Supporter.</p>
    <p><strong>34. &nbsp;Prabhavaḥ</strong> / One whose birth is of a sublime nature.</p>
    <p><strong>35. &nbsp;Prabhuḥ</strong> / He who is all powerful.</p>
    <p><strong>36. &nbsp;Iśvaraḥ</strong> / a) One who has the supreme power of control over all beings. b) One who has the ability to do anything without the help of any other beings or things</p>"
"<p>स्वयम्भूः शम्भुरादित्यः पुष्कराक्षो महास्वनः ।<br>अनादिनिधनो धाता विधाता धातुरुत्तमः ॥ ५॥</p>","<p>svayaṁbhūḥ śaṁbhurādityaḥ puṣkarākṣō mahāsvanaḥ,<br>anādinidhanō dhātā vidhātā dhāturuttamaḥ. (5)</p>","  <p><strong>37. Svayambhūḥ</strong> / He who manifests Himself by His own free will.</p>
    <p><strong>38. Śaṁbhuḥ</strong> / One who causes happiness to everyone by the beauty of His appearance.</p>
    <p><strong>39. Ādityaḥ</strong> / a) The purusha in the Sun. b) &nbsp;One of the twelve Adityas. c) &nbsp;One who sustains and nourishes everything like the Sun.&nbsp;</p>
    <p><strong>40. Puṣkarākṣaḥ</strong> / The Lotus-eyed.</p>
    <p><strong>41. Mahāsvanaḥ</strong> / He of the venerable sound (of the Vedas).&nbsp;</p>
    <p><strong>42. Anāndi-nidhanaḥ</strong> / One who is without beginning or end.</p>
    <p><strong>43. Dhātā</strong> / The creator (of .Brahma and others).</p>
    <p><strong>44. Vidhātā</strong> / The producer (of Brahma from the fetus referred to above).</p>
    <p><strong>45. Dhāturuttamaḥ</strong> / a) One who is far superior to Brahma (dhatr). b) The best of all basic constituents</p>"
