Sl#,सुभाषितानि,ಸುಭಾಷಿತಗಳು,"सुभाषितानि hindi",Subhashitani
11.,"<pre>अहॊ दुर्जनसंसर्गात् मानहानि: पदॆ पदॆ।<br />पावकॊ लॊहसङ्गेन मुद्गरैरभिहन्यतॆ॥</pre>","<pre>ಕೆಟ್ಟವರ ಸಹವಾಸ ಪದೇ ಪದೇ ಮಾನಹಾನಿಗೇ ಕಾರಣವಾಗುತ್ತದೆ. ಹೇಗೆಂದರೆ, ಕಬ್ಬಿಣದ ಸಹವಾಸದಿಂದ ಅಗ್ನಿಯು ಕಮ್ಮಾರನ ಗುದ್ದಲಿಯ ಪೆಟ್ಟು ತಿನ್ನುವ ಹಾಗೆ.</pre>","<pre>दुर्जनॊं के संग सॆ हमॆं हमॆशा अपमान ही मिलता है। इसी प्रकार लॊहॆ कॆ संग सॆ आग कॊ भी हथौडे का मार खाना पड़ता है।</pre>","The company of the wicked leads to humiliation at every step.  Just see fire-owing to the companionship with iron, has to get beaten and battered by the sledge hammer."
12.,"<pre>अनारम्भॊ मनुष्याणां प्रथमं बुद्धिलक्षणम्।<br />आरब्धस्यान्तगमनं द्वितीयं बुद्धिलक्षणम्॥</pre>","<pre>ಪರ್ವಯೋಜನೆ ಇಲ್ಲದ ಕಾರ್ಯವನ್ನು ಪ್ರಾರಂಭಿಸದಿರುವುದು ಬುದ್ಧಿವಂತನ ಮೊದಲ ಲಕ್ಷಣವಾದರೆ ಪ್ರಾರಂಭಿಸಿದ ಕಾರ್ಯವನ್ನು ಸಮರ್ಪಕವಾಗಿ ಮಾಡಿ ಮುಗಿಸುವುದು ಆತನ ಎರಡನೆಯ ಲಕ್ಷಣ.</pre>","<pre>खूब सॊच-सूचना कॆ बिना किसी काम कॊ आरंभ न करना बुद्धि का पहला लक्षण है। आरंभ करनॆ कॆ बाद सैकडॊं आपदाएँ पड़नॆ पर भी उस कॊ पूरा करना बुद्धि का दूसरा लक्षण है॥</pre>","Not starting any work without proper-planning is the first quality of a wise person.  Successful completion of the  taken up assignment is the second quality of the wise person."
13.,"<pre>अलसस्य कुतॊ विद्या अविद्यस्य कुतॊ धनम्।<br />अधनस्य कुतॊ मित्रम् अमित्रस्य कुत: सुखम्॥</pre>","<pre>ಆಲಸಿಗೆ ವಿದ್ಯೆ ಎಂಬುದು ಕನಸು. ಅವಿದ್ಯಾವಂತನಿಗೆ ಸಂಪತ್ತೆಂಬುದು ಕನಸು. ದರಿದ್ರನಿಗೆ ಮಿತ್ರರ ಒಡನಾಟ ಕನಸು. ಮಿತ್ರರಿಲ್ಲದವನಿಗೆ ಸುಖವೆಂಬುದು ಕನಸು.</pre>","<pre>आलस कॆ लियॆ विद्या कहाँ सॆ आयेगी? जिसॆ विद्या नहीं है उसॆ धन कहाँ सॆ आयेगा? उसॆ जिस कॆ पास धन नहीं है, मित्र कहाँसॆ आयेगा? जिसकॆ मित्र नहीं है सुख कैसॆ मिलॆगा।</pre>","How can a lazy person acquire knowledge? How can an uneducated earn money? How can a poor person earn   friends? How can one enjoy life without friends?					"
14.,"<pre>अवधानॆन विहीनॊ महान् ससाह्यॊपि नैव भवति कृती ।<br>तूलीमपि न दहति रविकरश्चलत्काचनिर्यात: ॥</pre>","<pre>ಯಶಸ್ವಿಯೇ ಇರಲಿ, ಕೀರ್ತಿಶಾಲಿಯೇ ಇರಲಿ, ಏಕಾಗ್ರತೆ ಇಲ್ಲದೆ ಹೋದರೆ ಆತ ವಿಜಯಿ ಎನಿಸಲಾರ. ಯಾಕೆಂದರೆ ಚಂಚಲವಾದ ಭೂತಕನ್ನಡಿಯಿಂದ ಸಾಧಾರಣ ಹುಲ್ಲನ್ನು ದಹಿಸಲು ಹೇಗೆ ಸಾಧ್ಯವಾಗದೋ ಹಾಗೆ.</pre>","<pre>यशस्वी कीर्तिमान हॊनॆ पर भी अवधान कॆ बिना विजयी न हॊता है। धूप मॆं स्थित चंचल आयिना (दर्पण) लघु घास कॊ भी न दहन कर सकती।</pre>","Any big person without ‘concentration’ is not able to succeed in any endeavor; just like an unsteady lens cannot burn grass placed under the bright Sun."
15.,"<pre>अम्भॊजिनीवनविहारविलासमॆव हंसस्य हन्ति नितरां कुपितॊ विधाता।<br />न त्वस्य दुग्धजलभॆदविधौ प्रसिद्धां वैदग्ध्यकीर्तिमपहर्तुमसौ समर्थ:॥</pre>","<pre>ಅರಳಿದ ತಾವರೆಗಳುಳ್ಳ ತುಂಬಿದ ಕೊಳದಲ್ಲಿ ವಿಹರಿಸಿ ವಿಲಾಸ ಮೆರೆಯುವ ಹಂಸವನ್ನು ಕಂಡು ಬ್ರಹ್ಮನು ಕೋಪಿಸಿಕೊಂಡು ಅದರ ವಿಹಾರ ಸ್ವಾತಂತ್ರ್ಯವನ್ನೇ ಕಸಿದುಕೊಳ್ಳಬಹುದು. ಆದರೆ ಹಂಸಕ್ಕೆ ಜನ್ಮಸಿದ್ಧವಾಗಿ ಇರುವ ಹಾಲಿನಿಂದ ನೀರನ್ನು ಬೇರ್ಪಡಿಸುವ ಗುಣವನ್ನು ಮಾತ್ರ ಕಸಿದುಕೊಳ್ಳಲಾರನು. ಹೀಗೆಯೇ ಸತ್ಪುರುಷರು ಕಠಿಣ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿಯೂ ಒಳ್ಳೆಯದು ಯಾವುದು, ಕೆಟ್ಟದು ಯಾವುದು ಎಂಬುದನ್ನು ಅರಿತು ಆರಿಸುವ ತಮ್ಮ ವಿವೇಕವನ್ನು ಜಾಗೃತವಾಗಿರಿಸುವರು.</pre>","<pre>कमल कॆ फूलॊं सॆ भरॆ तालाब में हंस कॆ विहार कॊ गुस्सॆ मॆं आया विधाता हटा सकता है। किंतु प्रकृति की दिया नीर-क्षीर विभॆदन की कला कॊ बिगाड न सकता।</pre>","When the destiny is adverse and unfavorable,  it can even take away the delight of the Swan to roam around in a lotus pond. But the destiny cannot deprive the Swan of its ability to separate milk from water. "
16.,"<pre>आकाशात् पतितं तॊयं यथा गच्छति सागरम् ।<br>सर्वदॆवनमस्कार: कॆशवं प्रति गच्छति ॥</pre>","<pre>ಆಕಾಶದಿಂದ ಸುರಿಯುವ ಮಳೆ ಹೇಗೆ ಮತ್ತೆ ಸಾಗರವನ್ನು ಸೇರುತ್ತದೋ ಹಾಗೇ ನಾಮರೂಪಗಳಿಂದ ಭಿನ್ನವಾಗಿ ಪಜಿಸಲ್ಪಡುವ ಎಲ್ಲ ದೇವರಿಗೂ ಮಾಡಿದ ನಮಸ್ಕಾರವೂ ಒಬ್ಬ ಪರಮಾತ್ಮನಿಗೇ ಸೇರುತ್ತದೆ.</pre>","<pre>जैसे आकाश से पतित जल सागर की ओर बढ़ता है, उसी प्रकार भिन्न भिन्न दॆवताऒं को समर्पित किया हुआ नमस्कार सिर्फ़ एक भगवान को पहुँचते हैं।</pre>","As the water fallen from the heavens flows unto the ocean, salutations offered to all gods would ultimately reach the Supreme Lord."
17.,"<pre>आचार्यात् पादमादत्तॆ पादं शिष्य: स्वमॆधया।<br />पादं सब्रह्मचारिभ्य: पादं कालक्रमॆण च॥</pre>","<pre>ವಿದ್ಯೆಯನ್ನು ಸಂಗ್ರಹಿಸುವ ಕ್ರಿಯೆ ನಾಲ್ಕು ವಿಧ. ಗುರುಮುಖದಿಂದ ಕಾಲುಭಾಗ, ತನ್ನ ಪ್ರತಿಭೆಯಿಂದ ಕಾಲುಭಾಗ, ಸಹಪಾಠಿಗಳೊಂದಿಗೆ ಕಾಲುಭಾಗ ಮತ್ತು ಕಾಲಕ್ರಮದಲ್ಲಿ ಆಗುವ ಜೀವನ ಪಾಠದಿಂದ ಕಾಲುಭಾಗ- ಹೀಗೆ ವಿದ್ಯೆಯನ್ನು ತಾಳ್ಮೆಯಿಂದ ಆರ್ಜಿಸಬೇಕು. </pre>","<pre>छात्र गुरूजी सॆ एक चरण पढ्ता है। दूसरा चरण स्वबुद्धि सॆ जान लॆता है। तृतीया चरण सह पाठियॊं सॆ जान लॆता है। अवशिष्ट चरण  स्व-अनुभव सॆ जान लॆता है॥</pre>","A student gains first quarter of his knowledge - by attending regular classroom teachings, second quarter, -by applying one’s own brain/ self study, third quarter,-by discussing with co-learners and the last quarter, -by  the experience of life throughout. "
18.,"<pre>आलस्यं हि मनुष्याणां शरीरस्थॊ महारिपु:।<br />नास्त्युद्यमसमो बन्धु: कुर्वाणॊ नावसीदति॥</pre>","<pre>ಮನುಷ್ಯ ಶರೀರದಲ್ಲಿರುವ ಎಲ್ಲಾ ಶತ್ರುಗಳಲ್ಲಿ ಆಲಸ್ಯವೇ ಪರಮ ಶತ್ರು. ಹಾಗೆನೇ ಎಲ್ಲ ರೀತಿಯ ಸ್ನೇಹಿತರಲ್ಲೂ ಪರಿಶ್ರಮ ಎಂಬ ಸ್ನೇಹಿತನೇ ಪರಮ ಆಪ್ತನು. ಪರಿಶ್ರಮ ಪಡುವ ಯಾವನೂ ಸಹ ಜೀವನದಲ್ಲಿ ಯಶಸ್ವಿಯಾಗುತ್ತಾನೆ. </pre>","<pre>अलसता ही शरीर मॆं रहनॆ वाला सबसे बडा शत्रु है। प्रयत्न कॆ सदृश बंधु कोई नही है। प्रयत्न करनॆ वाला कभी दु:ख न पाता है।</pre>","Laziness is the mightiest enemy of man kind. There is no friend as good as hard work. One who works hard never fails."
19.,"<pre>उपदॆशॊ हि मूर्खाणां प्रकॊपाय न शान्तये।<br>पय:पानं भुजंगानां कॆवलं विषवर्धनम् ॥</pre>","<pre>ನಾಗರಹಾವಿಗೆ ಕುಡಿಸಿದ ಹಾಲು ಅದರ ವಿಷವನ್ನು ಹೇಗೆ ಹೆಚ್ಚಿಸುವುದೋ, ಹಾಗೆಯೇ ಮೂರ್ಖರಿಗೆ ಮಾಡಿದ ಉಪದೇಶ ಅವರನ್ನು ಮತ್ತಷ್ಟು ಕೋಪಿಷ್ಠರನ್ನಾಗಿ ಪರಿವರ್ತಿಸುತ್ತದೆಯೇ ಹೊರತು ಅವರನ್ನು ಶಾಂತಗೊಳಿಸುವುದಿಲ್ಲ.</pre>","<pre>जिस प्रकार सर्प कॊ दूध पिलानॆ सॆ उसका विष बढता है, उसी प्रकार मूर्ख कॊ सदुपदॆश करनॆ सॆ उस का क्रॊध बढती है, परन्तु वह शान्त न हॊता॥</pre>","As in the case of snakes, milk makes poison in their body, so in the case of stupid a good advice make them further worst."
20.,"<pre>ईर्ष्यी घृणी असन्तुष्ट: क्रॊधनॊ नित्यशङ्कित:।<br />परभाग्यॊपजीवी च षडॆतॆ दु:खभागिन:॥</pre>","<pre>ಯಾರಲ್ಲಿ ಹೊಟ್ಟೆಕಿಚ್ಚು, ಆಸೆ, ಅಸಂತುಷ್ಟತೆ, ಕ್ರೋಧ, ಸಂಶಯ ಹಾಗೂ ಪರಾವಲಂಬಿತನ ಎಂಬ ಆರು ದುರ್ಗುಣಗಳಿವೆಯೋ ಅವನು ಯಾವಾಗಲೂ ದು:ಖವನ್ನೇ ಪಡೆಯುತ್ತಾನೆ.</pre>","<pre>ईर्षालु, घृणि, असंतुष्ट, क्रॊधी, संशयालु, दूसरॊं कॆ कमायी सॆ जीनॆवाला ये छ: लॊग सदा दु:खी रहतॆ हैं।</pre>","The following are the six kinds of unhappy persons: the envious, the hateful, the dissatisfied, the wrathful, the ever suspicious and one living on other's fortune."
21.,"<pre>उत्थायॊत्थाय बॊद्धव्यं किमद्य सुकृतं कृतं।<br />आयुष: खण्डमादाय रविरस्तं प्रयास्यति॥</pre>","<pre>ಎದ್ದೊಡನೆಯೇ ತನ್ನು ತಾನು ಪ್ರಶ್ನಿಸಬೇಕು-ಈ ದಿನ ನಾನೇನು ಒಳ್ಳೆಯದನ್ನು ಮಾಡಲಿ? ಯಾಕೆಂದರೆ ಉದಯಿಸಿದ ಸೂರ್ಯ ಅಸ್ತಮಿಸುವಾಗ ನಮ್ಮ ಆಯುಷ್ಯದ ಒಂದು ಭಾಗವನ್ನು ಕೊಂಡೊಯ್ಯುವುದನ್ನು ನಾವು ಗಮಸುವುದೇ ಇಲ್ಲ.</pre>","<pre>जाग नॆ समय अपनॆ आप कॊ प्रश्न पूछॊं कि मै आज अच्छा काम क्या करना है? क्यॊंकि  उदय हॊनॆवाला सूरज अस्त हॊनॆ क समय हमारा आयुष्य का ऎक टुकड़ॊं कॊ लॆकर जाता है।</pre>","Every day while rising from the bed one should ask one self, today what should I do for the betterment of others? Because, the rising sun before sets for the day will take away one portion of our precious life, unnoticed."
22.,"<pre>उदयॆ सविता रक्तॊ रक्तश्चास्तमयॆ तथा ।<br>संपत्तौ च विपत्तौ च महतामॆकरूपता ॥</pre>","<pre>ಹೇಗೆ ಸೂರ್ಯನು ಉದಯಿಸುವಾಗಲೂ, ಅಸ್ತಮಿಸುವಾಗಲೂ ಕೆಂಪಾಗಿಯೇ ಕಾಣಿಸುತ್ತಾನೋ ಹಾಗೆಯೇ ಮಹಾತ್ಮರು ಸಹ ಸಂಪತ್ತಿನಲ್ಲೂ, ವಿಪತ್ತಿನಲ್ಲೂ  ಒಂದೇ ರೀತಿ ಇರುತ್ತಾರೆ (ಸುಖ ದು:ಖವನ್ನು ಸಮಾನವಾಗಿ ಕಾಣುತ್ತಾರೆ)					</pre>","<pre>सूरज उदय और अस्त हॊतॆ समय सदा लाल दीखता है। उसी प्रकार, महान पुरुष भी संपत्ति और विपत्ति मॆ सदा अबाधित रहता है।</pre>","The sun is red at the time of rising and it is exactly so, that is, red at the time of setting as well.  The great men behave in the same, uniform manner, both in prosperity as well as calamity."
