samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
000-01,"<p>34. This divine Purāṇa of seven saṃhitās and called after Śiva stands on an equal footing with Brahman (<em>i.e</em>. Vedic Texts) and accords an achievement that is superior to everything else.</p>",,
000-01,"<p>35. He who reads the entire Śivapurāṇa without omitting any of the seven saṃhitās can be called a Jīvanmukta (a living liberated soul).</p>",,
000-01,"<p>36. O sage, the ignorant man is tossed about in the ocean of worldly existence till the excellent Śivapurāṇa reaches his ears.</p>",,
000-01,"<p>37. Of what avail is listening to many sacred texts and other confounding Purāṇas? The Śivapurāṇa alone loudly proclaims (its readiness) to grant salvation.</p>",,
000-01,"<p>38. The house where the discourse on this Śivapurāṇa is held becomes a holy centre. It destroys the sins of the inmates of the house.</p>",,
000-01,"<p>39. Thousands of horse-sacrifces<sup>[10]</sup> and hundreds of Vājapeya<sup>[11]</sup> sacrifices do not merit even a sixteenth part of Śivapurāṇa.</p>",,
000-01,"<p>40. O best of sages, a sinner is called a sinner till the moment he hears Śivapurāṇa with great devotion.</p>",,
000-01,"<p>41. The holy rivers, Gaṅgā and others, the seven sacred cities<sup>[12]</sup> and Gayā can never be equal to Śivapurāṇa.</p>",,
000-01,"<p>42. If one wishes for the greatest of goals (Liberation) one shall recite at least a stanza or even half of it from Śivapurāṇa.</p>",,
000-01,"<p>43. He who constantly listens to Śivapurāṇa fully comprehending its meaning or simply reads it with devotion is undoubtedly a meritorious soul.</p>",,
000-01,"<p>44. Lord Maheśāna (Śiva) is extremely pleased with the sensible man who listens to Śivapurāṇa when death is imminent. Lord Śiva accords him a seat in his own region.</p>",,
000-01,"<p>45. He who adores this Śivapurāṇa with great devotion enjoys in the world all desired objects and attains Śivaloka.</p>",,
000-01,"<p>46. Never slack in his devotion to the Śivapurāṇa he who keeps this work well wrapped in a silk cloth, will ever be happy.</p>",,
000-01,"<p>47. The holy Śivapurāṇa, the sole possession of a devotee of Śiva, should assiduously be resorted to by a person who desires for happiness here and hereafter.</p>",,
000-01,"<p>48. The holy Śivapurāṇa that accords the four aims of life (virtue, wealth, love and salvation) must be heard and read with great devotion always.</p>",,
000-01,"<p>49. The Śivapurāṇa, the greatest harbinger of the perfect welfare among the Vedas, Itihāsas and other sacred texts must be thoroughly understood by those who seek salvation.</p>",,
000-01,"<p>50. This Śivapurāṇa is the greatest resort of the knowers of Ātman (Spiritual Seekers) for ever; it is the noblest object worthy of adoration of good men; it suppresses the three types of distresses (<em>i.e</em>. physical illness, extraneous attacks and divine calamities); it accords happiness always; and it is very pleasing to all Devas led by Brahmā, Hari and Īśa.</p>",,
000-01,"<p>51. With the mind extremely delighted I bow unto Śivapurāṇa for ever. May Śiva be pleased and bestow on me a devotion to His feet.</p>",,
000-02,"<h1>Chapter 2 - The liberation of Devarāja</h1>",,
000-02,"<h2><em>Śaunaka said</em>:&mdash;</h2>",,
000-02,"<p>1. O Sūta, thou art the most blessed and the most fortunate knower of the greatest Truth. Thou hast narrated to us, out of great compassion, this divine wonderful tale.</p>",,
000-02,"<p>2. This wonderful narrative that destroys hosts of sins, purifies the mind, and propitiates Lord Śiva has been heard by us.</p>",,
000-02,"<p>3. Thanks to thy compassion we have decisively realised that there is nothing so fine and nice as this tale.</p>",,
000-02,"<p>4. Who are those among sinners in the Kali age who get sanctified by this story? Please enlighten us. Make the whole world gratified.</p>",,
000-02,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-02,"<p>5. Men who habitually commit sins, wicked persons indulging in vicious activities and persons of lecherous disposition become pure hereby.</p>",,
000-02,"<p>6. This is a great J&ntilde;ānayaj&ntilde;a (sacrificial rite of wisdom); it yields worldly enjoyment as well as salvation; it dispels all sins and delights Siva.</p>",,
000-02,"<p>7. Men overwhelmed by the thirst of covetousness, those devoid of truthfulness, those who decry even their parents, haughty vain fellows and persons prone to violent activities become sanctified by this.</p>",,
000-02,"<p>8. Those who never practise the duties of their Varṇas and Āśramas (castes and walks of life) and those of malicious temperament become sanctified thanks to the J&ntilde;ānayaj&ntilde;a even in the Kali age.</p>",,
000-02,"<p>9. Those who habitually practise deception and those who are ruthless and of cruel disposition are sanctified by this J&ntilde;ānayaj&ntilde;a even in the Kali age.</p>",,
000-02,"<p>10. Those who misappropriate the wealth of brahmins and thereby nourish themselves and those who indulge in heinous crimes of adultery become sanctified by this J&ntilde;ānayaj&ntilde;a even in the Kali age.</p>",,
000-02,"<p>11. Those who always indulge in sinful actions and those who are roguish persons of wicked mind become sanctified by this J&ntilde;ānayaj&ntilde;a even in the Kali age.</p>",,
000-02,"<p>12. Men of unclean habits and wicked minds, men who know no peace and men who swallow temple and trust properties become sanctified by this J&ntilde;ānayaj&ntilde;a even in the Kali age.</p>",,
000-02,"<p>13. The merit accruing from this Purāṇa destroys great sins, yields worldly enjoyments and salvation and delights Lord Śiva.</p>",,
000-02,"<p>14. In this context an ancient anecdote is cited as an example, the mere hearing of which, removes all sins utterly.</p>",,
000-02,"<p>15. In the city of Kirātas there lived a brahmin extremely poor and deficient in (brahmanical) knowledge. He used to sell various kinds of beverage and was averse to the worship of gods or to virtuous activities.</p>",,
000-02,"<p>16. He never practised the daily Sandhyā prayers or ablutions. His practice resembled a Vaiśya&rsquo;s mode of living. He never hesitated to deceive credulous persons. His name was Devarāja.</p>",,
000-02,"<p>17. Either by killing or by using various deceitful means he used to rob Brahmins, Kṣatriyas, Vaiśyas, Śūdras and others.</p>",,
000-02,"<p>18. Thus by foul means much wealth was later accumulated by him. But the sinner that he was, not even the slightest part of his wealth was utilised in virtuous acts.</p>",,
000-02,"<p>19. Once that brahmin went to a lake to take his bath. There he saw a harlot called Śobhāvatī and was much agitated at her sight.</p>",,
000-02,"<p>20. The beautiful woman was extremely delighted on coming to know that a rich brahmin had become her willing slave. The brahmin&rsquo;s heart was filled with love due to her pleasant talk.</p>",,
000-02,"<p>21. He decided to make her his wife and she consented to have him as her husband. Thus in mutual love they sported for a long time.</p>",,
000-02,"<p>22. Sitting, lying, eating, drinking and playing together they were not at all different from any other wedded couple.</p>",,
000-02,"<p>23. Dissuaded again and again by his mother, father, first wife and others though he was, he never paid heed to their words but continued his sinful activities.</p>",,
000-02,"<p>24. Once he became so enraged as to kill his mother, father and wedded wife at dead of night while they were asleep and took possession of their wealth.</p>",,
000-02,"<p>25. Enamoured of the courtesan he handed over to her his own wealth and also the wealth that he looted from his father, mother and first wife.</p>",,
000-02,"<p>26. In the company of this harlot he used to eat all sorts of forbidden food, became an addict to wine and spirituous liquors and partook of his food from the same plate as his concubine.</p>",,
000-02,"<p>27. Once, by chance, he came to the city of Pratiṣṭhāna.<sup>[1]</sup> He saw a Śiva temple where saintly men had congregated.</p>",,
000-02,"<p>28. During his stay there, he was afflicted by an acute fever. He heard the discourse on Śiva conducted by a brahmin.</p>",,
000-02,"<p>29. The brahmin Devarāja suffering from fever died at the end of a month. He was bound with nooses by Yama&rsquo;s attendants and forcibly taken to Yama&rsquo;s city.</p>",,
000-02,"<p>30-33. In the mean while Śiva&rsquo;s attendants dressed in white, smeared with ashes all over the body, wearing garlands of Rudrākṣa and wielding tridents in their hands started furiously from Śivaloka and reached Yama&rsquo;s city. They threatened the attendants of Yama (the God of death) and thrashed them. Releasing Devarāja from their clutches they seated in a wonderful aerial chariot. When they were about to start to Kailāsa a great tumult arose in the middle of Yama&rsquo;s city on hearing which Dharmarāja (the God of Death) himself came out of his palace.</p>",,
000-02,"<p>34. On seeing the four messengers who appeared like replicas of Rudra Himself, Dharmarāja the knower of virtues honoured them in accordance with the custom.</p>",,
000-02,"<p>35. Yama came to know of everything through his vision of wisdom. Out of fear he did not question the noble attendants of Śiva.</p>",,
000-02,"<p>36. Being duly honoured and adored by Yama, they went to Kailāsa and handed over the brahmin to Śiva, the very ocean of mercy and to the divine mother Pārvatī.</p>",,
000-02,"<p>37. Blessed indeed is the story of Śivapurāṇa, the holiest of holy stories, a mere hearing of which qualifies even the greatest sinner for salvation.</p>",,
000-02,"<p>38. The great seat of Sadāśiva is the greatest abode and the noblest of positions which Vedic scholars have extolled as stationed above all Lokas (worlds).</p>",,
000-02,"<p>39-40. Devarāja the base brahmin, addicted to wine, enamoured of a vile harlot, slayer of his own father, mother and wife and who out of greed for money had killed many brahmins, kṣatriyas, vaiśyas and śūdras and others became a liberated soul instantaneously on reaching that supreme Loka.</p>",,
000-03,"<h1>Chapter 3 - Ca&ntilde;culā&rsquo;s disillusion and detachment</h1>",,
000-03,"<h2><em>Śaunaka said</em>:&mdash;</h2>",,
000-03,"<p>1. O Sūta of great intellect, thou art extremely blessed and omniscient. By thy favour I am gratified to satiety again and again.</p>",,
000-03,"<p>2. My mind rejoices much on hearing this old anecdote. Please narrate another story equally increasing devotion to Śiva.</p>",,
000-03,"<p>3. Nowhere in the world are those who drink nectar honoured with liberation. But in regard to the nectar of the story of Śiva it is different. When drunk, it straightway accords salvation.</p>",,
000-03,"<p>4. Thou art blessed, blessed indeed. Blessed, blessed is the story of Śiva on hearing which a man attains Śivaloka.</p>",,
000-03,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-03,"<p>5. O Śaunaka, please listen I shall tell you, though it is a great secret, since you are the foremost among Vedic scholars and a leading devotee of Śiva.</p>",,
000-03,"<p>6. There is a seaside village &ldquo;Bāṣkala&rdquo;<sup>[1]</sup> where sinful people bereft of Vedic virtue reside.</p>",,
000-03,"<p>7. They are wicked debauchees with deceptive means of livelihood, atheists, farmers bearing weapons and adulterous rogues.</p>",,
000-03,"<p>8. They know not anything about true knowledge, detachment or true virtue. They are brutish in their mental make-up and take a great deal of interest in listening to evil gossips and slander.</p>",,
000-03,"<p>9. People of different castes are equally roguish never paying attention to their duties. Always drawn to worldly pleasures they are ever engrossed in one evil action or another.</p>",,
000-03,"<p>10. All the women too are equally crooked, whorish and sinful. Evil-tempered, loose in morals they are devoid of good behaviour and disciplined life.</p>",,
000-03,"<p>11. In the village &ldquo;Bāṣkala&rdquo; peopled by wicked people, there was a base brahmin called Binduga.</p>",,
000-03,"<p>12. He was a wicked sinner traversing evil paths. Although he had a beautiful wife he was enamoured of a prostitute. His passion for her completely upset his mind.</p>",,
000-03,"<p>13. He forsook his devoted wife Ca&ntilde;culā and indulged in sexual dalliance with the prostitute overwhelmed by Cupid&rsquo;s arrows.</p>",,
000-03,"<p>14. Many years thus elapsed without any abatement in his evil action. Afraid of violating her chastity Ca&ntilde;culā, though smitten by Cupid bore her distress (calmly for a short while).</p>",,
000-03,"<p>15. But later on as her youthful health and boisterous virility increased, cupid&rsquo;s onslaught became extremely unbearable for her and she ceased from strictly adhering to her virtuous conduct.</p>",,
000-03,"<p>16. Unknown to her husband she began to indulge in sexual intercourse with her sinful paramour at night. Fallen thus from Sāttvic virtues she went ahead along her evil ways.</p>",,
000-03,"<p>1 7. O sage, once he saw his wife amorously indulging in sexual intercourse with her paramour at night.</p>",,
000-03,"<p>18. Seeing his wife thus defiled by the paramour at night he furiously rushed at them.</p>",,
000-03,"<p>19. When the roguish deceitful paramour knew that the wicked Binduga had returned to the house he fled from the scene immediately.</p>",,
000-03,"<p>20. The wicked Binduga caught hold of his wife and with threats and abuses fisted her again and again.</p>",,
000-03,"<p>21. The whorish wicked woman Ca&ntilde;culā thus beaten by her husband became infuriated and spoke to her wicked husband.</p>",,
000-03,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-03,"<p>22. Foul-minded that you are, you indulge in sexual intercourse with the harlot every day. You have discarded me your wife, ever ready to serve you with my youthful body.</p>",,
000-03,"<p>23. I am a youthful maiden endowed with beauty and mentally agitated by lust. Tell me what other course can I take when I am denied the amorous sport with my husband.</p>",,
000-03,"<p>24. I am very beautiful and agitated with flush of fresh youth. Deprived of sexual intercourse with you I am extremely distressed. How can I bear the pangs of passion?</p>",,
000-03,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-03,"<p>25. That base brahmin Binduga, when addressed thus by his wife, foolish and averse to his own duties said to her.</p>",,
000-03,"<h2><em>Binduga said</em>:&mdash;</h2>",,
000-03,"<p>26. True indeed is what you have said with your mind agitated by passion. Please listen, my dear wife, I shall tell you something that will be of benefit to you. You need not be afraid.</p>",,
000-03,"<p>27. You go ahead with your sexual sports with any number of paramours. No fear need enter your mind. Extract as much of wealth as you can from them and give them enough sexual pleasure.</p>",,
000-03,"<p>28. You must hand over all the amount to me. You know that I am enamoured of my concubine. Thus our mutual interests will be assured.</p>",,
000-03,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-03,"<p>29. His wife Ca&ntilde;culā on hearing these words of her husband became extremely delighted and assented to his vicious proposal.</p>",,
000-03,"<p>30. Having thus entered into their nefarious mutual contract the two wicked persons&mdash;the husband and the wife&mdash;fearlessly went ahead with their evil actions.</p>",,
000-03,"<p>31. A great deal of time was thus wasted by the foolish couple indulging in their vicious activities.</p>",,
000-03,"<p>32. The wicked Binduga, the brahmin with a Śūdra woman for his concubine, died after some years and fell into Hell.</p>",,
000-03,"<p>33. The foolish fellow endured distress and torture in Hell for many days. He then became a ghost in the Vindhya mountain range continuing to be terribly sinful.</p>",,
000-03,"<p>34&mdash;35. After the death of her husband the wicked Binduga, the woman Ca&ntilde;culā continued to stay in her house with her sons. The woman foolishly continued her amorous dalliance with her paramours till she no longer retained her youthful charms.</p>",,
000-03,"<p>36. Due to divine intercession it chanced that on an auspicious occasion she happened to go to the Gokarṇa<sup>[2]</sup> temple in the company of her kinsmen.</p>",,
000-03,"<p>37. Casually moving about here and there with her kinsmen she happened to take her bath in a holy pond as a normal routine affair.</p>",,
000-03,"<p>38. In a certain temple a scholar of divine wisdom was conducting a discourse on the holy Śivapurāṇa story some of which she happened to hear.</p>",,
000-03,"<p>39&mdash;40. The portion that fell on her ears was the context in which it was said that the servants of Yama would introduce a red hot iron into the vaginal passage of women who indulge in sexual intercourse with their paramours. This narrative made by the Paurāṇika to increase detachment, made the woman tremble with fear.</p>",,
000-03,"<p>41. At the end of the discourse when all the people dispersed, the terrified woman approached the scholarly brahmin and spoke to him in confidence.</p>",,
000-03,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-03,"<p>42. O noble sir, please listen to the ignoble activities which I performed without knowing my real duties. O lord, on hearing the same you will please take pity on me and lift me up.</p>",,
000-03,"<p>43. O lord, with a mind utterly deluded I have committed very great sin. Blinded by lust I spent the whole of my youth in incontinent prostitution.</p>",,
000-03,"<p>44. Today on hearing your learned discourse abounding in the sentiments of non-attachment I have become extremely terrified and I tremble much.</p>",,
000-03,"<p>45. Fie upon me, the foolish sinner of a woman deluded by lust, censurable, clinging to worldly pleasures and averse to my own duties.</p>",,
000-03,"<p>46. Unknowingly a great sin that produces excessive distress has been committed by me for a fleeting glimpse of an evanescent pleasure, a criminal action.</p>",,
000-03,"<p>4 7. Alas, I do not know which terrible goal this will lead me to. My mind has always been turned to evil ways. Which wise man will come to my succour there?</p>",,
000-03,"<p>48. At the time of death how shall I face the terrible messengers of Yama? How shall I feel when they tie nooses forcibly round my neck?</p>",,
000-03,"<p>49. How shall I endure in Hell the mincing of my body to pieces? How shall I endure the special torture that is excessively painful?</p>",,
000-03,"<p>50. I bewail my lot. How can I peacefully proceed with the activity of my sense-organs during the day? Agitated with misery how shall I get peaceful sleep during the night?</p>",,
000-03,"<p>51. Alas! I am undone! I am burnt down! My heart is torn to pieces! I am doomed in every respect. I am a sinner of all sorts.</p>",,
000-03,"<p>52. O adverse Fate! it was you who directed my mind along evil lines. With a hateful stubbornness you made me commit great sins. I was led astray from the path of my duty that would have bestowed all happiness.</p>",,
000-03,"<p>53. O Brahmin, my present pain is millions of times more than that of a man stuck to the stake or hurled from a high mountain-top.</p>",,
000-03,"<p>54. My sin is so great that it cannot be washed away even if I take ablutions in the Gaṅgā for a hundred years or even if I perform a hundred sacrifices.</p>",,
000-03,"<p>55. What shall I do? Where shall I go? Whom shall I resort to? I am falling into the ocean of Hell. Who can save me in this world?</p>",,
000-03,"<p>56. O noble sir, thou art my preceptor. Thou art my mother. Thou art my father. I seek refuge in Thee. I am in a pitiable plight. Lift me; lift me.</p>",,
000-03,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-03,"<p>The intelligent Brahmin mercifully lifted up Ca&ntilde;culā who had become disgusted (with worldly affairs) and had fallen at his feet. That Brahmin then spoke (as follows).</p>",,
000-04,"<h1>Chapter 4 - Ca&ntilde;culā&rsquo;s salvation</h1>",,
000-04,"<h2><em>The Brahmin said</em>:&mdash;</h2>",,
000-04,"<p>l-2. O Brahmin lady, fortunately you have realised at the proper time on hearing the story of Śivapurāṇa that is conducive to non-attachment. Do not be afraid. Seek refuge in Śiva. All sins perish instantaneously by Śiva&rsquo;s grace.</p>",,
000-04,"<p>3. I shall explain to you that great object attached to the glorification of Śiva whereby your course hereafter will be pleasant always.</p>",,
000-04,"<p>4. It is by listening to the excellent story that your mind has now turned to the pure path of repentance and detachment towards worldly pleasures.</p>",,
000-04,"<p>5. Repentance is the only way of acquittance for all sinners. Saintly men have extolled it as the only way of expiation for all sins.</p>",,
000-04,"<p>6. Purity can be realised by repentence alone. If the sinner expiates in the manner advised by saintly men it removes all sins.</p>",,
000-04,"<p>7. After due expiation he becomes free from fear. By repentance he attains salvation undoubtedly.</p>",,
000-04,"<p>8. The mental purity that one derives on hearing the story of Śivapurāṇa cannot be gained by any other means.</p>",,
000-04,"<p>9. As a mirror becomes free from dirt on being wiped with a cloth, so is the mind undoubtedly purified by listening to this story.</p>",,
000-04,"<p>10. Accompanied by Ambā, Śiva stays in the minds of pure men. The sanctified soul thereupon attains the region of Śiva and Ambā.</p>",,
000-04,"<p>11. Hence this story is the means of realising the fourfold aim of life. It is for this that Mahādeva earnestly created this.</p>",,
000-04,"<p>12. Listening to the story of Pārvatī&rsquo;s consort (Śiva) brings about steady contemplation. Contemplation leads to perfect knowledge which certainly brings in salvation.</p>",,
000-04,"<p>13. A person who listens to the story in this birth though he be unable to meditate, realises the same in the next birth after which he reaches the goal of Śiva.</p>",,
000-04,"<p>14. Many repentant sinners have meditated upon Śiva after hearing this story and have achieved salvation.</p>",,
000-04,"<p>15. Listening to the excellent story is the cause of beatitude for all men. Properly entertained, it dispels the ailment of worldly bondage.</p>",,
000-04,"<p>16. Listening to the story of Śiva, constant meditations thereon and repeated musings certainly purify the mind.</p>",,
000-04,"<p>17. That (the purity of the mind) leads the meditator to a devotion of Maheśa and his two sons (Gaṇeśa and Kārtikeya). With their blessings one undoubtedly attains liberation.</p>",,
000-04,"<p>18. A person devoid of that devotion with his mind entangled in the bondage of ignorance is a brute. He can never be liberated from the worldly bondage.</p>",,
000-04,"<p>19. Hence O Brahmin lady, you turn away from worldly pleasures. Listen to the sanctifying story of Śiva with devotion.</p>",,
000-04,"<p>20. Your mind, as you listen to the excellent story of Śiva, the Supreme Soul, will become pure and thereafter you will realise liberation.</p>",,
000-04,"<p>21. liberation is assured in this very birth to a person who meditates on the lotus-like feet of Śiva, with a pure mind. Truth, I am saying the truth.</p>",,
000-04,"<h2><em>Sūta said</em>:</h2>",,
000-04,"<p>22. After saying this, that excellent brahmin with his mind melting with pity ceased talking and turned his attention to the meditation on Śiva with the purity of the Soul.</p>",,
000-04,"<p>23. The wife of Binduga, called Ca&ntilde;culā, when thus addressed by the brahmin, became delighted and her eyes brimmed with tears.</p>",,
000-04,"<p>24. With great delight in her heart she fell at the brahmin&rsquo;s feet. Ca&ntilde;culā with her palms joined together said &ldquo;I am blessed&rdquo;.</p>",,
000-04,"<p>25. Afterwards she rose up with great mental agitation. With her hands joined together, her words faltering in excitement, the woman of good intellect in her detached mood said to the brahmin, the great devotee of Siva.</p>",,
000-04,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-04,"<p>26. O my lord, great brahmin devotee of Śiva, you are blessed. You are endowed with the vision of Truth. You are devoted to rendering help to others. You are to be described among great saintly men.</p>",,
000-04,"<p>27&mdash;28. O saintly one, I am about to fall into the ocean of Hell. Save me. I am now faithfully eager to listen to the Purāṇa. On hearing its excellent story I became detached from worldly pleasures.</p>",,
000-04,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-04,"<p>29. So saying with reverence she got the blessings of the brahmin. Desirous of hearing the Purāṇa she stayed there rendering service to him.</p>",,
000-04,"<p>30. The intelligent brahmin devotee narrated the Purāṇic story to the woman on the spot.</p>",,
000-04,"<p>31. In this manner she listened to the excellent story of Śivapurāṇa in that holy centre from that excellent brahmin.</p>",,
000-04,"<p>32. On hearing that excellent story that heightened devotion, knowledge and detachment and yielded liberation, she became greatly blessed.</p>",,
000-04,"<p>33. Favoured by the good preceptor she quickly gained purity of mind. By the blessings of Śiva she could meditate on Śiva&rsquo;s forms and features.</p>",,
000-04,"<p>34. Thus, resorting to the good preceptor, her mind was drawn towards Śiva. She constantly meditated on the sentient blissful body of Śiva.</p>",,
000-04,"<p>35-36. She wore barks of trees and had her hair matted. She smeared ashes over her body. She wore garlands of Rudrākṣa beads. Every day she took her ablutions in the sacred water. She regularly repeated Śiva&rsquo;s names. She regulated her speech and diet. She propitiated Lord Śiva in the manner advised by the preceptor.</p>",,
000-04,"<p>37. O Śaunaka, thus for a long time Ca&ntilde;culā continued her meditation on Lord Siva.</p>",,
000-04,"<p>38. When the stipulated period was over, Ca&ntilde;culā in her practice of the three-fold&nbsp;<sup>[1]</sup> devotion cast-off her body without any difficulty.</p>",,
000-04,"<p>39. The divine aerial chariot shining in brilliant colours, sent by Tripurāri&nbsp;<sup>[2]</sup> (Śiva) Himself, accompanied by His attendants, arrived there quickly.</p>",,
000-04,"<p>40. With her dirt and sin removed she mounted the aerial chariot and was immediately taken to Śiva&rsquo;s city by the lord&rsquo;s noble attendants.</p>",,
000-04,"<p>41. She assumed a divine form. Her limbs were divine in their features. She assumed the form of Gaurī with the crescent moon as her coronet and divine ornaments shining brilliantly.</p>",,
000-04,"<p>42. She saw the three-eyed Mahādeva, the eternal, being served devotedly by Viṣṇu, Brahmā and other gods.</p>",,
000-04,"<p>43. He had the brilliance of ten million suns and was reverently served by Gaṇeśa, Bhṛṅgi, Nandīśa Vīrabhadreśvara and others.</p>",,
000-04,"<p>44. His neck had a blue hue; he had five faces, three eyes, the crescent moon as crest-ornament and his left side was apportioned to Gaurī who had the brilliance of lightning.</p>",,
000-04,"<p>45. He was white in complexion like camphor and wore all ornaments. Besmeared with white ashes all over the body and clad in white cloth he shone brilliantly.</p>",,
