**Sloka**,Verse
1-1-30,"On Dasharatha&#39;s dying, though Bharata had been appointed for kingship by Sage Vashishta and other Brahmanas, that highly mighty one did not desire kingdom.That warrior Bharata went to forest to propitiate the venerable Rama... [1-1-33b. 34]"
1-1-31,"That Bharata, possessed of a worthy way of thinking [to get Rama installed as king], on going to Rama, begged his brother Rama, a great souled one and a truly courageous one. Bharata spoke words in this manner to Rama - ""You alone, the knower of probity, be the king."" ... &#39; [1-1-35, 36a]"
1-1-32,"Even though Rama was very benevolent, gracious also, highly famed and with great prowess, Rama did not desire kingdom due to father's injunction... [1-1-36b, 37a]"
1-1-33,"Thereafter, repeatedly turning Bharata back, the elder brother, Rama, gave his wooden shoes to Bharata and entrusting them to represent him for the sake of kingdom. [1-1-37b, 38a]"
1-1-34,"That Bharata, thus with a desire unfulfilled, ruled the kingdom from Nandigrama, touching Rama's sandals representing feet of Rama, with anexpectation of Rama's arrival... [1-1-38b, 39a]"
1-1-35,"On the departure of Bharata, that splendid Rama, truth-bound, and self-controlled, anticipated the repeated visits of citizens and other people. To be undisturbed, Rama then entered Dandaka forests... [1-1-39b, 40]"
1-1-36,"That lotus-eyed Rama, on his entering the vast Dandaka forest, killed the demon Viraadha, and indeed beheld Sage Sharabhanga and also Sage Suteekhsna, Sage Agastya and likewise Sage Agastya&#39;s brother... [1-1-41, 42a]"
1-1-37,"On Sage Agastya's word, Rama, with great delight, received from Agastya, Indra's bow along with the sword and two quivers with ever replenishing arrows... [1-1-42b, 43a]"
1-1-38,"During Rama's stay in the forest, all the sages together with other forest dwellers,approached him for the elimination of ogres and demons... [1-1-43b, 44a]"
1-1-39,"He [Rama] agreed to that supplication of those sages dwelling in the forest of demons. A promise was also made by Rama to the sages who equalled the fire and who were living in that Dandaka forest about killing of the demons in combat... [1-1-44b, 45]"
1-1-40,"While Rama was living there in the Dandaka forest, a guise-changing demoness named Shuurpa-nakha, who was a resident of Janasthana, a portion of Dandaka forest, was disfigured by him... [1-1-46]"
1-1-41,"Then in a battle, Rama killed all demons who became zealously active incited by Suurphanakha's words, including the demons Khara, Trishira, Duushana together with all of their foot-followers... [1-1-47, 48a]"
1-1-42,"During Rama's stay in that forest, fourteen thousand demon inhabitants of Janasthana became slain... [1-1-48b, 49a]"
1-1-43,"Then, on hearing the slaughter of his kinsmen, Ravana convulsed in anger and sought to get the help of a demon named Maareecha... [1-1-49b, 50a]"
1-1-44,"But Maareecha restrained Ravana telling him many times, &#39;Oh, Ravana! Rivarly with that formidable Rama is not appropriate of you...&#39; [1-1-50b, 51a]"
1-1-45,"Then disregarding Maareecha&#39;s words and impelled by his own fate, Ravana advanced to the place of Rama&#39;s hermitage along with Maareecha... [1-1-51b, 52a]"
1-1-46,"After taking away of Rama and Lakshmana to a distance by the trickster Maareecha, Ravana stole Rama's wife after killing Jatayu... [1-1-52b, 53a]"
1-1-47,"Raghava on seeing the smitten Jatayu and also on hearing about Seetha's abduction, wailed with disturbed senses, seething with anguish  ... [1-1-53b, 54a]"
1-1-48,"Rama then cremated that vulture Jataayu with that state of anguish, and while searching for Seetha in forest, he indeed saw a demon named Kabandha, deformed in his looks and with a terrible appearance... [1-1-54b, 55]"
1-1-49,"That Rama with great arms after slaying Kabandha, cremated him and Kabandha obtanined heaven. Before going to heaven, he spoke thus to Rama:'Oh Raghava! You proceed to Sabari, a lady with righteous conduct, an expert in probity and a devotee.&#39;... [1-1-56, 57a]"
1-1-50,"That great resplendent Rama, the son of Dasaratha, an anhillator of enemies, approached Sabari and was thoroughly honoured by her... [1-1-57b, 58a]"
1-1-51,"Rama was united indeed with the Vanara Hanuma on the banks of Lake Pampa, and upon the word of Hanuma, Rama met with Sugreeva... [1-1-58b, 59b]"
1-1-52,"The highly powerful Rama detailed from the beginning all that happened, and in particular the abduction of Seetha, to Sugriva and to Hanuma also... [1-1-59b, 60a]"
1-1-53,"The Vanara Sugreeva after listening to all that talk of Rama made friendship with Rama delightedly with sacred fire as witness... [1-1-60b, 61a]"
1-1-54,"Then out of affection, the incident was related with regard to Sugreeva's enemity with Vali  in its entirety by the Vanara King with grief to Rama ... [1-1-61b, 62a]"
1-1-55,"Then a solemn promise was made by Rama with regards to killing of Vali. In that regard Vanara Sugreeva also described Vali's strength... [1-1-62b, 63a]"
1-1-56,"But Sugreeva remained ever doubtful with respect to Raghava, about Raghava's prowess. Sugreeva showed Dundubhi's big and great mountain-likedead body to gain confidence in Raghava... [1-1-63b, 64]"
1-1-57,"Great armed and very powerful Rama after seeing the bones of Dundubhi smiled and by the big toe of his foot threw it wholly for ten yojana-s length. [1-1-65]"
1-1-58,"Then again Rama ripped through seven massive Sala trees with only one great arrow, which not only went through the trees but also rent through a mountain, and to the nethermost subterranean of earth, in order to create faith in the mind of Sugreeva... [1-1-66]"
1-1-59,"Thereafter great monkey Sugreeva with a gladdened heart by that act of Rama, proceeded to cave-like Kishkindha then along with Rama and with confidence in Rama's strength... [1-1-67]"
1-1-60,"Then that best monkey Sugreeva, with a golden hue, made a roaring sound. By that loud sound, the king of monkeys, Vali, emerged out... [1-1-68]"
1-1-61,"Then after Tara [wife of Vali] permitting, Vali met with Sugreeva in a combat. And Rama killed this Vali with a single arrow there... [1-1-69]"
1-1-62,"Then Raghava after killing Vali in a combat as per Sugreeva's plea, installed Sugreeva alone as the king of Vanaras.. [1-1-70]"
1-1-63,"That best among monkeys, Sugreeva, after summoning all Vanaras, dispatched them in different directions to behold the daughter of Janaka... [1-1-71]"
1-1-64,"After that, the strong Hanuma, upon the word of the vulture Sampati who was elder brother of Jatayu, flew across the salty ocean one hundred yojanas in breadth... [1-1-72]"
1-1-65,"On reaching the city of Lanka ruled by Ravana, Hanuma saw Seetha situated in Ashoka gardens there and meditating on Rama alone... [1-1-73]"
1-1-66,"After delivering to Seetha the mark of identification in the form of a ring from Rama and also communicating Rama's disposition and consoling Vaidehi, Hanuma destroyed the welcome-arch of Ashoka gardens... [1-1-74]"
1-1-67,"After killing five army chiefs and seven minister's sons and crushing the valiant Aksha, Hanuma got into state of captivity... [1-1-75]"
1-1-68,"Knowing himself to be free from the captivity of the weapon according to Brahma's boon, the valiant great monkey Hanumaenduring those demons with self-will who tied his tail with ropes with the intention of burning it, there after burning the city of Lanka while  leaving from fire the Seetha of Mithila, got back again to convey the pleasant news to Rama ... [1-1-76, 77]"
1-1-69,"Approaching the great Rama and peforming circumambulation around Rama, Hanuma having an inestimable intelligence,submitted in essence thus: &#39;Seen Seetha...&#39; [1-1-78]"
1-1-70,"There-after, Rama along with Sugreeva and other monkeys went to the shore of Great Ocean, and put the Ocean-god to turmoil with his arrows comparable to the Sun... [1-1-79]"
1-1-71,"The Ocean-god revealed himself and upon his word, Nala built the bridge across the ocean... [1-1-80]"
1-1-72,"Rama, having gone to the city of Lanka by that bridge, killing Ravana in a battle, experienced great shame on getting Seetha back... [1-1-81]"
1-1-73,"There-after, Rama spoke harshly to Seetha in the assembly of the people. Being devoted to her husband, that Seetha, intolerant of the harsh words of Rama, entered into burning fire... [1-1-82]"
1-1-74,"Then, upon the word of Fire-god, having known Seetha to be sinless, Rama became extremely glad.Worshipped by all gods he became resplendent. By that accomplishment of the great Raghava the three worlds together with mobile and immobilebeings, and with groups of gods and sages became exultant... [1-1-83, 84]"
1-1-75,"Enthroning Vibheeshana as the chieftain of demons in Lanka, and with a done deed, Rama then rejoiced highly indeed free from distress... [1-1-85]"
1-1-76,"After obtaining a boon from the gods, Rama  raised up monkeys from death. He then travelled to Ayodhya by Pushpaka aircraftsurrounded by good hearted ones... [1-1-86]"
1-1-77,"Rama, with true valour, on going to sage Bharadwaja's hermitage, sent Hanuma to the presence of Bharata... [1-1-87]"
1-1-78,"Then, having boarded Pushpaka aircraft again after leaving the hermitage of Bharadwaja, and narrating past history to Sugreeva and others about the events in the days of his exile in forests, while flying overhead of the very same places, Rama went to Nandigrama... [1-1-88]"
1-1-79,"That sinless Rama rejoining with all of his brothers in the village Nandigrama removed his matted hair. Thus he, on regaining Seetha and on discarding hermit&#39;s role again became a householder, and he regained his kingdom also... [1-1-89]"
1-1-80,"When Rama is ruling the world will be highly rejoiced and happy, satisfied and abundant, also very righteous, wholesome, disease-free, and free from fear of famine... Thus Narada is foreseeing the future and telling Valmiki. [1-1-90]"
1-1-81,"While Rama is on the throne men will not see the deaths of their children anywhere in their lifetime, and the ladies will remain husband-devouted and unwidowed during their lifetime... [1-1-91]"
1-1-82,"In the kingdom of Rama, there will be no fear for his subjects from wildfires, gale-storms or from diseases, and there will be no fear from hunger or thieves, nor the cattle will be drowned in floodwaters as well... [1-1-92, 93a]"
1-1-83,"Cities and states as well will be replete with wealth and grains likewise. All his subjects will be highly glad always,like in Krita yuga... [1-1-93b, 94a]"
1-1-84,"Like-wise the highly illustrious Rama having performed hundreds of horse rituals and having donated plentiful gold and croresof cows and wealth that cannot be counted to Brahmanas and to scholars according to custom... [1-1-94b, 95a]"
1-1-85,"In this world Raghava will establish kingly dynasties in hundredfold and he will be maintaining the four-caste system positing each in his own duty, may it be caste-bound or provincial-kingdom-bound duty, in order to achieve a perfect social harmony... [1-1-96]"
1-1-86,"Having served the kingdom for ten thousand years and another one thousand years, i.e. for a total of eleven thousand years, Rama will go to the abode of Brahma... [1-1-97]"
1-1-87,"This Ramayana is holy, sin-eradicating, merit-endowing, and conformable with the teachings of Vedas.Whoever reads this Legend of Rama, will be verily liberated of all sins... [1-1-98]"
1-1-88,"This Ramayana is long-life giving. A narrative by reading which a human will be blessed with sons and grandsons, and after enjoying worldlycomforts with attendants, will be adored in heaven after demise... [1-1-99]"
1-1-89,"By reading this Ramayana, that person if a Brahmana obtains excellency in speech, if a Kshatriya obtains land-lordship, if Vaisyaattains profit in trade and even if a Sudra attains excellence. Thus Sage Narada gave a gist of Ramayana to Sage-poet Valmiki. [1-1-100]"
1-1-90,"In the first chapter of Bala Kanda the gist of Ramayana is imbibed and it is called <em>saMkShepa raamaayaNa,</em> or also called <em>baala raamaayaNa</em> . The youngsters are asked to recite these stanzas daily for longevity and a perfect personality like that of Rama. The summarised stanzas reflected here are from the main epic. The canto-wise summarisation is as below:"
1-1-91,"1. Bala Kanda [Book I] verses I-1-8 to 18<br>2. Ayodhyaa Kaanda [Book II ] verses I-1-18 to 28<br>3. Aranya Kaanda [Book III] verses I-1-29 to 57<br>4. Kishkindhaa Kaanda [Book IV] I-1-58 to 71<br>5. Sundara Kaanda [Book V] I-1-72 to 78<br>6. Yuddha Kaanda [Book VI] I-1-79 to 90<br>7. Uttara Ramayana [Book VII] I-1-91 to 97<br>8. Phala Shruti [Results of Recitation] I-1-98 to 100</font>"
1-1-92,"Valmiki composed Ramayana according to the letters of Gayatri Hymn and they are identified with the following verses in all cantos:"
1-2-1,"Sage Valmiki goes to river Tamasa for a bath and sees a couple of birds, of which a hunter kills one. Valmiki unintentionally utters a poem, which is rich in grammar and new in metre, of which he is very much confused as to why such a poem has come from his tongue. Brahma, the presiding deity of letters appears and ordains Valmiki to author Ramayana, excellent epic of Rama, for which purpose alone he gave such divine meter and grammar to him."
1-2-2,"Then, the great sage Valmiki, a skilled orator and a virtue-minded one, having heard those words of Narada, worshipped him along with disciples. [1-2-1]"
1-2-3,"That divine sage Narada being worshipped befittingly by Valmiki in that way, on seeking permission of Valmiki to leave and having been permitted by Valmiki, went away heaven-ward. [1-2-2]"
1-2-4,"Then, on Narada's going to the world of gods in a trice, that sage Valmiki went to the banks of Tamasa river not far from Jahnavi river. [1-2-3]"
1-2-5,"Then that sage Valmiki on reaching the shore of the clean Tamasa, and on beholding a ford of that river, spoke to his disciple who was at his side. [1-2-4]"
1-2-6,"Oh! Bharadwaja, behold this ford which is without dirt, with clear waters and pleasant like a virtuous man's mind. [1-2-5]"
1-2-7,"My dear! Let the hand-vessel [kamaNDalu] be kept [there]. Let my bark-garment be given to me. I will enter this best ford of Tamasa only... [1-2-6]"
1-2-8,"Thus being said by the great-souled Valmiki, Bharadwaaja who was obedient to his Guru, gave the bark-garment to the sage [1-2-7]"
1-2-9,"That self-controlled Sage Valmiki on taking bark-garment from his disciple&#39;s hands, and looking in all directions, indeed moved away from thatwide expanse of forest. [1-2-8]"
1-2-10,"There holy sage Valmiki saw a couple of curlews, in the vicinity of that river&#39;s foreshore, flying there about in togetherness and cooing charmingly. [1-2-9]"
1-2-11,"A tribal hunter with evil intent, and a receptacle of enimity, killed the male one among the couple of birds, while Valmiki was looking on. [1-2-10]"
1-2-12,"The wife was moving together with husband with a red crest and with joy, with good wings, always being united with that male bird. On seeingthat bird slain on ground reeling with blood covered wings really made wailing sounds with piteous utterances on being separated from her husband. [1-2-11, 12]"
1-2-13,"On seeing that bird felled that way by the tribal hunter, compassion occassioned in that saintly sage Valmiki. [1-2-13]"
1-2-14,"Then on seeing the wailing female krounchi bird, out of state of compassion and apperceiving the killing of male bird as unjust, the sage uttered this sentence... [1-2-14]"
1-2-15,"Oh! violent Hunter, by which reason you have killed one bird of the couple, when it was infatuated by passion, for that reason you will never get a state of rest for everlasting years to come... [1-2-15]"
1-2-16,"Thus speaking and pondering in his heart, he became thoughtful: ""What is this utterance by me in grief and anguish for this bird?"". [1-2-16]"
1-2-17,"That great wise one who was an intellectual and the best among sages, on cogitating, made up his mind and also spoke these words to the disciple... [1-2-17]"
1-2-18,"While I was tormented by grief, there arose a sentence consisting of four verses possessing metrically posited letterssuitable to be played as song and string music and that will be called Shloka, not otherwise... [1-2-18]"
1-2-19,"Even the disciple happily received what that is articulated by the saint, a unique articulation, by which the saint too, was delighted. [1-2-19]"
1-2-20,"Then that saint on performing his bathing in that ford according to custom, and still thinking on the purport of his utterance, he returned towards his hermitage. [1-2-20]"
1-2-21,"Then Bharadwaja, the obedient disciple and an erudite scholar, for he heard and learnt many scriptures by listening, on taking handy-vessel full with water followed at the behind of his mentor. [1-2-21]"
1-2-22,"He that knower of dharma, Valmiki, having entered the threshold of hermitage along with disciples, and having seated spoke about the day-to-day teachings and also other things, but he himself is preoccupied in cogitation on the verse. [1-2-22]"
1-2-23,"Then, the great resplendent Four-faced creator of fourteen worlds, almighty Brahma, arrived there on his own, to see that eminent saint Valmiki. [1-2-23]"
1-2-24,"Then that pious saint Valmiki is highly surprised on seeing Brahma, and on quickly getting up from his seat with his palms adjoined humbly, he stood aside, as he is spellbind. [1-2-24]"
1-2-25,"Valmiki uninterruptedly venerated Brahma, on inquiring into his well-being, washed his feet, drenched his thirst, seated him to rest, and adored at best with customarily obeisance. [1-2-25]"
1-2-26,"Then god Brahma, who is seated on a high seat, very highly worshipped by Valmiki, also beckoned at Valmiki to take a seat. [1-2-26]"
1-2-27,"Even though Valmiki sat on his seat when duly permitted by Brahma, and though the Grandparent of the worlds is manifestly sitting before him, but the same broodings on those happenings occurred on that day have recurred on his mind. [1-2-27-28a]"
1-2-28,"He that tribal hunter, who killed a cutely calling krouncha bird for no good reason than intending to capture the kill, is an evil souled one that caused hardship... [1-2-28b-29a]"
1-2-29,"Remaining in melancholic mood Valmiki turned his mind to the depth of thinking, and again thinking only on the krouncha bird he sung the same verse, involuntarily. [1-2-29b-30a]"
1-2-30,"Then, Brahma smilingly spoke to that eminent saint Valmiki, But, what that is composed is a verse only... and there is no need to think through... [1-2-30]"
1-2-31,"Oh, Brahman, that speech of yours sprang forth at my wish alone, hence oh, eminent sage, you shall render the legend of Rama, in its entirety... [1-2-31]"
1-2-32,"You shall narrate the legend of Rama, the virtuous, intellectual and an intrepid one, and a godlike person in this world as well, as you have heard it from sage Narada. [1-2-32]"
1-2-33,"The adventures of valorous Rama along with Lakshmana, and the misadventures of demons, known or unknown in every detail, and even the plight of Vaidehi which is either revealed or un-revealed so far, and whatever legend that has happened, all that will also be known to you, even if it were to be unknown, as yet... [1-2-33-34]"
1-2-34,"You shall versify the heart pleasing and merit-yielding legend of Rama, and not a single word of yours will not be false in this epic... [1-2-35]"
1-2-35,"As long as the mountains and even rivers flourish on the surface of the earth, so long the legend of Ramayana will flourish in this world... [1-2-36]"
1-2-36,"And as long as Rama&#39;s legend authored by you flourishes...till then you will flourish in heavenly, in netherworlds, and even in my abode, namely Abode of Brahma... [1-2-37]"
1-2-37,"On saying thus that Divinity Brahma vanished then and there only, and then that godly sage Valmiki came by astonishment, along with his disciples. [1-2-38]"
1-2-38,"Then all of the disciples of Valmiki sang this verse time and again very delightedly, and much astonished they also recited this verse, reciprocally. [1-2-39]"
1-2-39,"Equally lettered, four-footed is that verse when great Sage Valmiki articulated it, and when repetitively recited by one and all, it attained prominence as verse proper. [1-2-40]"
1-2-40,"Born is an intuition in that great sage and contemplated soul asserting that I will compose entire Ramayana, the epic, in suchlike verses...&#39; [1-2-41]"
1-2-41,"That celebrated sage and magnanimous seer Valmiki then authored the highly renowned Rama&#39;s legend extolling Rama&#39;s renown, with symmetrically worded verses, and words versified to yield meanings semantically, prosody free-flowing, and with hundreds of such verses. [1-2-42]"
1-2-42,"That epic contains uncomplicated compounds, conjunctions and conjugations, and has expressive sentences that are well knit and led evenly and sweetly, and that legend pertains to the best one from Raghu&#39;s dynasty, namely Rama, which also includes the extermination of the Ten headed evil named Ravana, and further, it is said by the sage, hence this may now be listened… [1-2-43]"
1-3-1,"On hearing the essence of Ramayana from Sage Narada, which is abound with probity and prosperity, and a propitious one too, that virtue-souled Valmiki started searching for further known details in the legend of that dexterous Rama. [1-3-1]"
1-3-2,"Valmiki sitting on a sacred grass mat, whose apices are towards east, touched waters, and made his palms adjoined in reverence, and then by his yogic insight started to search comprehensively, for the narrative course of Ramayana. [1-3-2]"
1-3-3,"Of Rama, Lakshmana and Seetha, also of King Dasharatha and his wives, and what bechanced on Rama when he was in kingdom Ayodhya; Valmiki veritably discerned all that. Their smiles, their conversations, their deeds and the succession of events as well, all of them the sage saw wholly and clearly by the yogic power conferred by Brahma...] [1-3-3,4]"
1-3-4,"Then, that which bechanced on truth-abiding Rama, while he is trekking in forests, with a lady being the third partner, where Lakshmana is the lone male aide, Valmiki visualized all that. [1-3-5]"
1-3-5,"Then that virtue-souled sage saw what all that has happened earlier, by his yogic exaltation, as though it is a citric fruit in his own palm. [1-3-6]"
1-3-6,"Discerning all of Ramayana in its actuality by his yogic prowess that highly intellectual Valmiki pioneered to author all of the legend of Rama, for Rama is a delighter of all in all worlds, and whose legend is abounding with the real functional qualities of earthly pleasures and prosperities, and which clearly elaborates the meaning of probity and its operative qualities, and thus this legend is like an ocean replete with such gems called thoughts, and an ear-pleasing legend, as well. [1-3-7, 8]"
1-3-7,"That godly saint Valmiki composed the legend of Rama, the legatee of Raghu, exactly as the divine-soul Narada narrated it earlier. [1-3-9]"
1-3-8,"The birth of Rama as an incarnation of Vishnu, his very great valour, his gracefulness to all, his universal cordiality, perseverance, courteousness, and his truthful conduct, Valmiki described them all. [1-3-10]"
1-3-9,"Narrated are very many other amusing stories, Rama&#39;s breaking the great bow; his associated withsage vishvamitra... [1-3-11]"
1-3-10,"Dispute of Rama and Parashurama; the merits of Rama, the son of Dasharatha; and the preparations for anointing of Rama as crown prince; Queen Kaikeyi&#39;s vicious intentions... [1-3-12]"
1-3-11,"Disruption in royal unction of Raghava; his exile to forests; King Dasharatha&#39;s grief and bewailing, and thus his departing to other worlds... [1-3-13]"
1-3-12,"The grief of the subjects; Rama leaving them off; his conversing with tribal chief Guha; returning the charioteer Sumantra to kingdom from forests, leaving the trio at the banks of river Ganga... all these elements are well- described. [1-3-14]"
1-3-13,"Crossing over River Ganga; looking up Sage Bharadwaja; their look up at Chitrakuta on Sage Bharadwaja&#39;s advise... [1-3-15]"
1-3-14,"Construction of a hermitage and dwelling therein; Bharata&#39;s arrival at that place for the graciousness of Rama to take back the kingdom; Rama&#39;s denial of it; Rama&#39;s offering water oblations to his father on hearing the demise of his father... [1-3-16]"
1-3-15,"Enthroning shoe-sandals of Rama by Bharata; Bharata&#39;s living in a village Nandigrama; Rama&#39;s going to Dandaka forests; killing the demon named Viradha... [1-3-17]"
1-3-16,"Rama&#39;s visit to Sage Sarabhanga and Suteekshna; their visiting hermitic lady Anasuuya, and her smooth speaking with Seetha and also her giving a body cream to Seetha...[by applying which cream Seetha will not wither away in the rough weather of woods. These details are incorporated with great care.] [1-3-18]"
1-3-17,"Also even Rama&#39;s seeing the Sage Agastya, and likewise taking a great bow from that sage... also the palaver of Surpanakha, the demoness, and defacing her, likewise... [1-3-19]"
1-3-18,"The elimination of demons like Khara, Trishirasa and the upsurge of Ravana thereby; elimination of demon Mareecha, and Ravana&#39;s abduction of Vaidehi, likewise... [1-3-20]"
1-3-19,"Raghava&#39;s anguish at the loss of Seetha; Ravana&#39;s slaying the mighty eagle Jatayu; Rama&#39;s seeing Kabandha, and also Lake Pampa...[1-3-21]"
1-3-20,"Rama&#39;s seeing Shabari, a hermetic lady and eating fruits and tubers given by her in utmost adoration; Rama&#39;s bemoaning for Seetha; his sighting Hanuma at Lake Pampa... [1-3-22]"
1-3-21,"Also going to Mt. Rishyamuka, meeting Sugreeva and generating confidence in Sugreeva, befriending him and the duel of Vali and Sugreeva... [1-3-23]"
1-3-22,"Also thus Vali&#39;s elimination and establishing Sugreeva on throne of monkey kingdom, grieving of Tara, the wife of Vali and empress of that kingdom, and as consented Rama&#39;s stopover during the days of rain... [1-3-24]"
1-3-23,"The wrath of Raghava, the lion, at the delay caused by Sugreeva, and Sugreeva&#39;s foregathering of all troops, and sending them to all quarters, and Sugreeva&#39;s description of earth&#39;s topography to monkey-troops... [1-3-25]"
1-3-24,"Rama&#39;s giving his ring to Hanuma as a token for Seetha&#39;s recognition... and the monkeys thus searching Riksha cave, bear-cave, and their fasting unto death for their quest remained unsuccessful, and their seeing Sampaati, another mighty eagle and the brother of slain Jatayu, who guides the monkeys to the destination where Seetha is held captive. [1-3-26]"
1-3-25,"Hanuma&#39;s climbing Mt. Mahendra to leap over the ocean, and on the advice of the Ocean, Mt. Mainaka&#39;s coming up from under waters to give rest to Hanuma, and Hanuma&#39;s seeing that mountain are depicted. [1-3-27]"
